Problem_Summary,Resolution,
End of draw disposition code. Account had balance on parent at time of end of draw but had active cild. Account did not get final end of day letter not did the account go through repayment changing to the type. Additional end of day codes beside which have been identified have example in we also and need to ensure not same issue with population,Ticket Moved to Research,
When filtering them main task queue by received date the filtered results show a received date that is day later. This is only happening with accounts received date in september or october. The filtered results still show the correct received date.,Ticket will be tracked,
Site is experiencing network slowness. This is an ongoing issue,Ticket closed- Hardware Install,
It appears photocopy request claims under amount and claims processed during the nightly accounting entry cut off window including weekends and holidays. Do not include an audit trail marking sowing which letter was generated to the customer.,Ticket Closed - Code Modified,
We reversed and reapplied a payment to allocate to the march payment in conjunction. The system closed the march bucket rather than leaving I open and listing as partial. The functionality was changed in release with project for accounts where A payment received that is within the payment ninety percent payment is going to be considered as paid in full marking the billing bucket as paid and will not generate a partial payment. We disagree with the changes made and need the functionality reversed back,Ticket Moved to Research,
Capital Markets clarity project tracking account locked,Ticket Closed - No Issue,
Account is not reflecting data is setup when in fact is. See screenshot for example,Ticket will be tracked,
Letter Request,Ticket Closed - Letter Added,
The transaction code should trigger the billing buckets. Also need to validate if the buckets really should be populating with the amount that would have been due.This issue are not duplicate because data are in different programs. Issue is with regular billing buckets where the data is the billing records.,Ticket Closed - No Issue,
Did not cycle properly. Coount did not produce bill bucket or statement for due dates. Accounts shouls have cycled on dates. Account transaction history attached,Ticket Closed - No Issue,
Fees are not displaying correctly on the report. This does not impact credit reporting,Ticket Closed - No Issue,
Addition of letters to category bankruptcy,Ticket Closed - Letter Added,
"Questionnaire issue. The issue that we discuused yesterday was caused by the messed up sequence number. Apparently when deleting the question it goes to extract the question from the question hierarchy in the section to find it. Since the sequence numbers have all been messed up, it found totally different question with the behaviour trigger confused.",No good fix,
Letter Request. Please have letter updated,Ticket Closed - Letter Added,
We are continuously observing exception which is causing errors in the business transactions. The counts are very high.,Ticket Closed - No Issue,
For home equity applications results not showing banker name for home equity,Ticket closed - Software Install,
Not able to update an agreement,Ticket closed - Software Install,
Utilization referrals are not claiming as success even though utilization occurred within alaiming window,Ticket will be tracked,
Create Synonym. Once synonyms are created need to do data fix,Ticket Closed - Ran script,
Existing letter needs to be updated. Combine prime and non-prime templates into one by creating a variable field for the online sit and phone number based on product type,Ticket Closed - Letter Added,
Transactions rejected for effective date greater than cycle date nut actually posted and created entries,Ticket Closed - No Issue,
Ticket to move in code fix that is to coincide maintainance request that return eror code with bureau returning are appearing instead of loading,Ticket Closed - Code Modified,
"False exception application and exception are different. Application number,details of percent and screenshot attached as well as old ticket number that already that has research",Ticket Closed - No Issue,
Need to get a product added to available list of products,Ticket Closed - No Issue,
Better understand data. Imported the same file in different days,Ticket Closed - Data Synch,
When policy is invoked to create an account he user id format is in the format for a non-pevileged account,Ticket Closed - Code Modified,
When documents printt the letter spacing is not printing correclty. See attached example document. At this point this issue is only happening in the field in on the document screen,Ticket Closed - Code Modified,
Capital Markets clarity not working. But java was installed to help but still not working,Ticket Closed - No Issue,
Require OS Assistance to address OS Risk Compliance information request.,Ticket Closed - Security Change,
Please update the existing letter. This is batch by process. English and spanish templates were combined to print together. Prime and non-prime have also been combined with variable based on product type.,Ticket Closed - Letter Added,
Please create new letter. Both letters will be batch. I've attached the letter change request form.,Ticket Closed - Letter Added,
After auto retry for failed requests was added. The request ids were dropped from requests in open tasks,Ticket Closed - Code Modified,
Scheduled Job,Ticket Closed - Job Restarted,
Job Failure,Ticket Closed - No Issue,
Please grant access. Please see attached form. ,Ticket Closed - Access Updated,
Need to power off server in unmanned site. Build has not complted and server are now unreachable.,Ticket Closed - Network change,
Job Failure alarm has been generated,Ticket Closed - Job Restarted,
Job Failure alarm has been generated,Ticket Closed - Job Restarted,
Job Failure alarm has been generated,Ticket Closed - Job Restarted,
Traffic Imbalance,Ticket Moved to Research,
Need to remove the decommission servers from all the console,Ticket Closed - Code Modified,
Please disable the below server. Seems that it wasn't disabled after the mother board replacement,Ticket Closed - Server reboot,
Could you please restart server,Ticket Closed - Server reboot,
Customer would like to add new IP address,Ticket Closed - Network change,
Showing backlog on queue. Please investigate.,Ticket Closed - Job Restarted,
Excel,Ticket Closed - Reconfigure,
File Requested was over ridden to zero for today,Ticket Closed - Code Modified,
Requesting retransmission for date,Ticket Closed - No Issue,
Alert! The rate sheet load job to refresh daily rates into the trust wires/ ,Ticket Closed - Job Restarted,
When attempting to run stored procedure I am receiving error,Ticket Closed - Reconfigure,
Need software installed on PC,Ticket Closed - Reconfigure,
SQL hours remapping,Ticket Closed - Ran script,
SQL Dates,Ticket Closed - Ran script,
SQL Error level setting,Ticket Closed - Ran script,
Cluster is down,Ticket Closed - Server reboot,
Please create the soft link for the data directory in link,Ticket Closed - Reconfigure,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Encountered out of memory issue,Ticket Closed - Server reboot,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Cluster host profile non compliant issue,Ticket Closed - Host profile compliance,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Cluster host profile non compliant issue,Ticket Closed - Host profile compliance,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Cluster host profile non compliant check,Ticket Closed - Host profile compliance,
Cluster host profile non compliant issue,Ticket Closed - Host profile compliance,
Please restart server. It sems to be hung up. It's unresponsive,Ticket Closed - Server reboot,
Password Reset,Ticket Closed - Password reset,
Unable to login as we are getting error message,Ticket Closed - Job Restarted,
"Need cabing tested, certified or replaced",Ticket Closed - Security Change,
It is a known splunk issue that the channel crashes because of high throughput. Need to restart the service. ,Ticket Closed - Job Restarted,
